nombre,url,accion_therapeutica,propiedades,indicaciones,dosificacion,reacciones_adversas,precauciones,interacciones,contraindicaciones,sobredosificacion,medicamentos
Sodio fluoruro,https://ar.prvademecum.com/principio-activo/sodio-fluoruro-1314/,Suplemento nutricional. Profilaxis de caries dentales.,El ion fluoruro se incorpora y estabiliza al cristal de opalita presente en hueso y dientes. Su acumulación en el esmalte de los dientes parece aumentar la resistencia al ácido y al desarrollo de las caries. También los fluoruros promueven la remineralización del esmalte descalcificado e interfieren en el crecimiento y desarrollo de las bacterias del sarro dental. Los fluoruros en solución o en forma de sales se absorben fácilmente y casi en forma completa en el tracto gastrointestinal. Se almacena en huesos y su eliminación es por vía renal.,Profilaxis de la caries dental (como suplemento dietético en aquellas zonas del país donde el nivel de fluoruro natural presente en el agua potable no es adecuado).,"Dosis pediátricas usuales: dependerá de la cantidad de fluoruro en agua, variando de: niños recién nacidos hasta 2 años: hasta 0,25mg de ion fluoruro por día; 2 a 3 años: 0,25 a 0,5mg de ion fluoruro por día; de 3 a 13 años: 0,5 a 1mg de ion fluoruro por día.","Las dosis de 264mg a 300mg pueden producir molestias gástricas. La dosis mortal es mayor de 1 a 2 gramos. La suplementación excesiva puede producir hipocalcemia y tetania; desequilibrios electrolíticos y arritmias cardíacas. Son de incidencia rara: rash cutáneo, ampollas en la boca y en los labios. Signos de sobredosis crónica de fluoruro: constipación, anorexia, náuseas o vómitos, dolor en huesos, rigidez, pérdida de peso, coloración blanca, marrón o negra de los dientes. Signos de sobredosis aguda de fluoruro: heces alquitranadas, hematemesis, diarrea, somnolencia, desmayos, sialorrea, temblores, excitación no habitual, lagrimeo, debilidad.","Atraviesa la placenta de un modo limitado y se excreta en la leche materna, pero sin causar ningún problema. En dosis excesivas puede producir fluorosis dental, si se toma en los años de formación de los dientes. Evitar tomar en vasos de vidrio, ya que el flúor ataca el vidrio. Es importante no comer o beber al menos hasta 15 minutos después de ingerir los comprimidos.",El hidróxido de aluminio puede disminuir la absorción y aumentar la excreción fecal del fluoruro. Los iones de calcio pueden formar complejos con el fluoruro e inhibir su absorción.,Fluorosis dental o prevalencia en otros miembros de la población inmediata.,,FLUORDENT; FLUORDENT JUNIOR; FLUORDENT KIDS; FLUORDENT PX ENJUAGUE BUCAL; FLUORDENT SEMANAL; FLUORDENT-B; FLUOROGEL TERAPEUTICO
Fludrocortisona,https://ar.prvademecum.com/principio-activo/fludrocortisona-2139/,Corticosteroide.,"Es un esteroide adrenal sintético, derivado fluorado de la hidrocortisona, que posee potentes propiedades mineralocorticoides. Luego de su absorción se difunde a través de las membranas celulares y forma complejos con receptores citoplasmáticos específicos. Estos penetran en el núcleo de la célula y se unen al DNA, lo que estimula la transcripción del mRNA y posterior síntesis enzimática que son finalmente los responsables del efecto sistémico. Como los otros corticosteroides, reduce los fenómenos flogógenos e inflamatorios incluida la migración celular (macrófagos, leucocitos) en el área inflamada, y además inhibe la fagocitosis, la síntesis y liberación de mediadores químicos, y enzimas lisosómicas. Luego de su administración oral, se absorbe con facilidad y se difunde a los diferentes líquidos biológicos (sinovial, LCR, pleura) y tejidos. Se une en alto grado con las proteínas plasmáticas (80%), su vida media en el plasma es de 3 a 5 horas y la biológica 18 a 36 horas. Se biotransforma y se elimina por orina, en forma de metabolitos inactivos. Sus efectos antiinflamatorios y antiexudativos son prolongados (24-48 horas).","Enfermedad de Addison. Insuficiencia adrenocortical crónica primaria, como terapia de reposición parcial. Síndrome adrenogenital perdedor de sodio. Como coadyuvante del diagnóstico de la acidosis tubular renal tipo IV asociado con hipoaldosteronismo hiporreninémico. En estados de hipotensión ortostática idiopática asociada con una dieta rica en sodio.","En adultos con insuficiencia adrenocortical crónica se aconsejan 0,05 a 0,1mg diarios y aumentar en forma progresiva 0,2mg por día. En síndrome adrenogenital congénito iniciar con 0,2mg diarios, que pueden reducirse en forma progresiva a 0,05 a 0,1mg diarios. En estados hipotensivos idiopáticos 0,05 a 0,2mg/día. La dosis pediátrica oscila entre 0,05 a 0,1mg diarios.",,"Se deberá administrar un glucocorticoide como la cortisona (10 a 37,5mg) o hidrocortisona (10 a 30mg) diarios cuando la fludrocortisona sea empleada en el tratamiento de la insuficiencia adrenocortical o en formas perdedoras de sodio. También será necesario indicar diuréticos cuando este corticoide sea empleado en el tratamiento de la acidosis tubular renal (tipo IV), en especial en sujetos hipertensos o con insuficiencia cardíaca. Deberá evaluarse la relación riesgo/beneficio en sujetos con disfunción tiroidea (hipertiroidismo o hipotiroidismo), glomerulonefritis aguda, insuficiencia hepática o renal crónica. Su empleo puede enmascarar enfermedades infecciosas. En altas dosis y en tratamientos prolongados puede producir catarata subcapsular posterior, glaucoma, lesión de la vía óptica e infecciones oculares por virus u hongos. Durante su administración no se debe vacunar contra la viruela y otras terapias inmunológicas deberán evaluarse cuidadosamente. Si su indicación es necesaria en pacientes tuberculosos (formas fulminantes o diseminadas) deberá agregarse quimioprofilaxis. Se deberán monitorear periódicamente los niveles hidroelectrolíticos (sodio, potasio).","Asociado con diuréticos depletores de potasio, anfotericina B, hipopotasemia. Con digitálicos, riesgo aumentado de desarrollar arritmias cardíacas. Con anticoagulantes orales, descenso del tiempo de protrombina. Con hipoglucemiantes, menor efecto hipoglucemiante. Con aspirina y AINE: potenciación del efecto ulcerogénico. Los barbitúricos, la fenitoína y la rifampicina aumentan el clearance de la fludrocortisona.","Hipertensión arterial. Retención hidrosalina (edemas). Insuficiencia cardíaca congestiva. Embarazo y lactancia. Insuficiencia renal con excepción de pacientes con acidosis tubular renal (tipo IV). Enfermedad ulcerosa gastroduodenal activa. Hipersensibilidad a la corticoterapia. Hipopotasemia grave. Osteoporosis. Psicopatías, miastenia gravis, diverticulosis.",,LONIKAN
Hidroxydecine,https://ar.prvademecum.com/principio-activo/hidroxydecine-7596/,,,,,,,,,,
Metimazol,https://ar.prvademecum.com/principio-activo/metimazol-2393/,Antitiroideo.,"El metimazol inhibe la síntesis de hormona tiroidea en el paso del acoplamiento de monoyodo y diyodotironina. La glándula posee una consistencia friable y muy vascularizada luego del tratamiento con metimazol, a diferencia de la glándula dura que se obtiene postratamiento con yoduros. El metimazol no inactiva la tiroxina o triyodotironina circulante o las acumuladas en el tiroides, ni interfiere con la efectividad de la hormona tiroidea administrada por vía oral o parenteral. Las acciones y usos del metimazol son similares a los del propiltiouracilo; el metimazol es 10 veces más potente en cuanto a las dosis utilizadas. El metimazol se absorbe casi totalmente en el nivel del tracto gastrointestinal. Se metaboliza con rapidez en hígado, por lo que requiere administración frecuente.","Tratamiento medicamentoso del hipertiroidismo. La terapéutica en el largo plazo puede inducir la remisión de la enfermedad. En la preparación para la tiroidectomía o la terapéutica radiactiva con yodo. En hipertiroidismo, cuando la tiroidectomía no es viable o está contraindicada.","Adultos: hipertiroidismo leve, dosis inicial: 15mg; hipertiroidismo moderado, dosis inicial: 30mg a 40mg; hipertiroidismo severo, dosis inicial: 60mg, divididos en 3 dosis cada 8 horas. Dosis de mantenimiento: 5mg a 15mg/día. Niños: dosis inicial: 0,4mg/kg/día, dividida en 3 tomas cada 8 horas. La dosis de mantenimiento es, aproximadamente, la mitad de la dosis de ataque.","Las reacciones adversas graves aparecen con menos frecuencia que las leves e incluyen inhibición de la mielopoyesis (agranulocitosis, granulocitopenia y trombocitopenia), anemia aplásica, fiebre por drogas, síndrome símil-lupus, síndrome insulínico autoinmune (hipoglucemia, coma), hepatitis (ictericia que puede persistir luego de semanas de la suspensión del medicamento), periarteritis e hipoprotrombinemia. Raramente nefritis. Las reacciones adversas menores incluyen rash cutáneo, urticaria, náuseas, vómitos, diarreas, epigastralgia, artralgia, parestesias, pérdida del gusto, caída anormal de cabello, mialgias, cefaleas, prurito, somnolencia, neuritis, edema, vértigo, pigmentación de la piel, ictericia, sialoadenopatía y linfadenopatía. Debe recalcarse que cerca de 10% de los pacientes hipertiroideos no tratados tienen leucopenia (glóbulos blancos 4.000/mm3), con relativa granulocitopenia.","La agranulocitosis es el efecto adverso más serio que se presenta durante el tratamiento con metimazol. El paciente debe ser instruido por el médico para que le refiera cualquier signo relacionado con la agranulocitosis (fiebre, angina). La droga debe ser suspendida de inmediato frente a una agranulocitosis, anemia aplásica, hepatitis o dermatitis exfoliativa. Se debe controlar con extendidos de punción medular. Se han informado casos raros de hepatitis fulminante, con encefalopatía y muerte. El metimazol puede causar daño fetal cuando se administra durante el embarazo; atraviesa la placenta y puede inducir bocio y cretinismo en el feto. También se ha descripto aplasia de cutis y defectos en el cuero cabelludo. Si la mujer queda embarazada en tanto toma metimazol, el médico debe instruirla sobre las posibles malformaciones del feto. Al comienzo de la terapéutica con metimazol deben realizarse controles hemáticos semanales y luego pueden hacerse al mes o cada 2 meses.","La actividad de los anticoagulantes orales puede verse potenciada por actividad contra la vitamina K, descripta para el metimazol.",Hipersensibilidad a la droga. Lactancia: el metimazol se excreta por leche materna y puede producir bocio en lactantes.,,DANANTIZOL
Polimixina B,https://ar.prvademecum.com/principio-activo/polimixina-b-948/,Antibiótico polipeptídico.,"La polimixina pertenece -junto con la colistina (polimixina E), la bacitracina y la tirotricina- al grupo de los antibióticos llamados ""polipeptídicos"", porque se extraen de la bacteria Bacillus polimyxa. Se caracterizan por poseer un espectro reducido que cubre fundamentalmente microorganismos gramnegativos. Actúa básicamente en el nivel de la membrana celular bacteriana en lo que altera la permeabilidad y el metabolismo, lo que conduce a la muerte por lisis celular. Es escasamente absorbida por vía oral, pero desarrolla una acción local o in situ que se aprovecha para el tratamiento de infecciones gastrointestinales (gastroenteritis, enterocolitis) asociada con sustancias astringentes o antidiarreicas. Tiene amplio uso como antibiótico tópico en diversas formas farmacéuticas (cremas, gotas óticas, colirios). Es un fármaco de limitada disponibilidad y escasa penetración tisular, en LCR, pleura y articulaciones. Sufre una parcial metabolización biológica y se elimina en su mayor parte (60%) por el riñón en forma rápida. Su vida media es de 6 horas y la de la polimixina E (colistina) 1,7 horas.","Sepsis sistémicas por gérmenes gramnegativos incluido P. aeruginosa. Infecciones broncopulmonares, quirúrgicas, obstétricas, abdominales y genitourinarias.","Para el tratamiento de sepsis por gramnegativos o P. aeruginosa (abscesos, septicemias, neumopatías, peritonitis) se emplea por vía parenteral IM en dosis de 1,5-2,5mg/kg/día repartidos cada 6-8 horas; se aconseja no superar los 100-200mg/día. La administración por vía IV requiere dilución en dextrosa al 5% y se aplican 2,5mg/kg (25.000U/kg).","Renales: hematuria, albuminuria, hiperazoemia, oliguria. Neurológicas: cefaleas, mareos, vértigo, nistagmo, ataxia, depresión respiratoria por bloqueo neuromuscular. Estos efectos nefrotóxicos y neurotóxicos son potencialmente reversibles con la supresión temprana del antibiótico.","En sujetos con insuficiencia renal la excreción del antibiótico se demora significativamente, razón por la cual no se aconseja su empleo. Se recomienda evitar el uso simultáneo de drogas potencialmente nefrotóxicas durante la administración de este derivado polipeptídico, como vancomicina, aminoglucósidos o diuréticos.","Bloqueantes neuromusculares: adición y sinergismo que pueden provocar cuadros miasteniformes, paro respiratorio.","Insuficiencia renal, miastenia gravis. Hipersensibilidad al fármaco.",,POLIMIXINA B
Proparacaína,https://ar.prvademecum.com/principio-activo/proparaca%C3%ADna-1218/,Anestésico local.,"La proparacaína se usa como anestésico local de acción rápida. En el ojo la anestesia comienza a los 30 segundos y se prolonga durante 15 minutos. El mecanismo de acción de los anestésicos locales se desarrolla en la membrana de la célula nerviosa, por aumento de su permeabilidad al sodio, como ocurre durante la despolarización. El efecto del anestésico consiste en un incremento gradual del umbral de estimulación eléctrica, cuya máxima expresión provoca un bloqueo de la conducción del impulso.","Medición de la presión intraocular (tonometría), remoción de cuerpo extraño y sutura de la córnea, raspado conjuntival.","Uso oftálmico: para la anestesia profunda (por ejemplo en cirugía de cataratas) instilar una o dos gotas de una solución al 0,5% de clorhidrato de proparacaína, cada 5 a 7 minutos. Para tonometría instilar una o dos gotas de solución inmediatamente antes del procedimiento.","Raramente se observa midriasis, cicloplejía, irritación, ardor, dolor punzante, enrojecimiento y reacción hiperalérgica inmediata, incluida queratitis epitelial difusa aguda.","El uso prolongado de anestésicos locales en el ojo puede provocar opacificación corneana y pérdida de la visión. Usar con precaución en presencia de alergia, hipertiroidismo y enfermedades cardíacas. Al no existir pruebas concluyentes se recomienda no usar en mujeres embarazadas a menos que el beneficio para la madre supere el riesgo potencial para el feto. Administrar con precaución a la mujer que amamanta.",Con sulfonamidas: inhibición de la acción de éstas.,Hipersensibilidad a los anestésicos locales.,"Anestésicos locales sistémicos: nerviosismo, mareos, visión borrosa, temblores, convulsiones, inconsciencia, paro cardiorrespiratorio, hipotensión, náuseas y vómitos. El tratamiento principal incluye mantenimiento de la ventilación y oxigenación.",ANESTALCON; POENCAINA
Vacunas,https://ar.prvademecum.com/principio-activo/vacunas-2203/,,,,,,,,,,PROQUAD; QDENGA; SHINGRIX
Lapatinib,https://ar.prvademecum.com/principio-activo/lapatinib-6325/,Antineoplásico.,"Es un derivado anilinoquinazolina quinasa capaz de inhibir la enzima tirosino-kinasa intracelular tanto del receptor del factor de crecimiento epidérmico (EGFR [ErbB1]) y del receptor epidérmico humano tipo 2 (HER2 [ErbB2]). Lapatinib inhibe también el crecimiento celular del ErB in vitro y en varios modelos animales, y tiene actividad contra varias líneas celulares del cáncer de mama. Posee un efecto aditivo cuando se asocia in vitro con 5-FU (metabolito activo de la capecitabina) sobre varias líneas de células tumorales testeadas. Se administra por vía oral y posee una absorción incompleta y variable, y su pico plasmático se logra a las 4 horas, posee una elevada unión proteica ( > 99%) con la albúmina y alfa 1-ácido glicoproteína. Lapatinib presenta una extensa biotransformación metabólica por el sistema CYP3A4 y CYP3A5 y en menor intensidad por CYP2C19 y CYP2C8 su media plasmática es de 14,2 horas. Su eliminación renal es baja ( < 2%) en tanto por heces el rango es de 27% (3-67%).","Asociado a capecitabina en cáncer de mama metastásico con sobre expresión HER2 y en pacientes tratados previamente con antraciclina, taxanos y trastuzumab.","Por vía oral 1.250mg una vez por día, del día 1 al 21 asociado con capecitabina 2.000mg/m2/día por vía oral cada 12 horas del día 1 al 14. Lapatinib se debe administrar 1 hora antes o 1 hora después de las comidas, en tanto que capecitabina se puede dar junto con las comidas o 30 min más tarde.","Se han referido especialmente (>20%) náuseas, vómitos, rash cutáneo, diarrea, astenia, fatiga, dermatosis palmo-plantar, anorexia, prolongación del espacio QT, disminución de la fracción de eyección del ventrículo izquierdo, neumonitis.","En pacientes tratados que presenten disfunción ventricular izquierda se deberá suspender el tratamiento o reducir su posología (1.000mg/día), la misma que en sujetos con insuficiencia hepática severa (750mg/día). La terapia deberá suspenderse en sujetos que presenten neumonitis intersticial. Si existiera hipocaliemia o hipomagnesemia, se deberá corregir antes de iniciar el uso de lapatinib, y se debe controlar la actividad cardíaca (ECG) por el riesgo de arritmias y prolongación del espacio QT.","Los agentes ""inhibidores"" del sistema CYP3A4 como antifúngicos (quetoconazol, itraconazol), antibióticos (claritromicina, telitromicina), antirretrovirales (atazanavir, indinavir, ritonavir, saquinavir, nelfinavir), no deben administrarse con lapatinib o se deberá reducir la dosis a 500mg/día. El pomelo puede aumentar los niveles del antineoplásico. Por su parte los fármacos ""inductores"" fuertes del sistema CYP3A4 (fenitoína, carbamazepina, rifampicina, fenobarbital, dexametasona, hierba de San Juan) deberían evitarse ya que afectan la biodisponibilidad de lapatinib.",,,EDITAS; LAPANOVA; NOTISTIR; TILAPAT; TYKERB
Meperidina,https://ar.prvademecum.com/principio-activo/meperidina-450/,Hipnoanalgésico.,"La meperidina es un congénere de la morfina, agonista sobre todo del subtipo de receptores m. Posee efectos analgésicos, disfóricos escasos y antiespasmódicos leves (a diferencia de la morfina). Se absorbe por todas las vías, con una biodisponibilidad oral de 40 a 60%. Se metaboliza en hígado; uno de los productos es la normeperidina, responsable de la toxicidad de la droga. La vida media es de 3 horas; es liposoluble, atraviesa la placenta fácilmente. La administración repetida de dosis terapéuticas con intervalos breves puede inducir tolerancia y dependencia física. Luego de la supresión brusca, el síndrome de abstinencia es menos grave que con la morfina en cuanto a la duración y a los signos autonómicos.",Tratamiento del dolor posoperatorio y neoplásico. En el preoperatorio como sedante y agente que facilita la anestesia.,100mg cada 4 u 8h por vía IM o SC.,"Náuseas, vómitos, mareos. Produce menos constipación y retención urinaria que la morfina. El cuadro de sobredosis se caracteriza por excitación, alucinaciones, convulsiones (acumulación de normeperidina, tóxico con vida media de 10 a 12 horas) y pupilas dilatadas.","Embarazo. Lactancia. Como con todos los analgésicos mayores deben reducirse las dosis en ancianos, hipotiroidismo, insuficiencia hepática y renal. Los pacientes adictos son tolerantes a los efectos depresores.",La clorpromazina y los antidepresivos tricíclicos aumentan los efectos depresores respiratorios de la meperidina. IMAO: hipotensión o hipertensión con excitación o depresión.,Insuficiencia respiratoria. Hipotensión. Hipertensión endocraneana. Insuficiencia hepática grave. Traumatismo craneano.,,MEPERIDINA (PETIDINA) CHOBET; MEPERIDINA DENVER FARMA
Lociones,https://ar.prvademecum.com/principio-activo/lociones-4230/,,,,,,,,,,
Levofloxacina,https://ar.prvademecum.com/principio-activo/levofloxacina-3944/,Antibiótico bactericida.,"La levofloxacina es un antibiótico bactericida de amplio espectro de la familia de las quinolonas. El mecanismo de acción involucra la unión de esta droga con la girasa del ácido desoxirribonucleico (DNA), enzima responsable de la replicación, transcripción, reparación y recombinación del DNA. El resultado final de esta interacción es la inhibición rápida y específica de la síntesis del DNA bacteriano. La levofloxacina se absorbe por vía gastrointestinal en forma rápida y casi completa, la ingesta de alimentos no interfiere en la absorción. Se une a proteínas plasmáticas, principalmente a albúmina, sufre un limitado metabolismo en los seres humanos y es excretada como droga sin cambios en la orina. El espectro antibacteriano incluye cepas productoras de betalactamasa de Streptococcus faecalis, Staphylococcus epidermidis, Staphylococcus saprophyticus, Streptococcus agalactiae, Streptococcus pneumoniae, Streptococcus pyogenes; cepas gramnegativas como Citrobacter freundii, Enterobacter cloacae, Escherichia coli, Haemophilus influenzae, Haemophilus parainfluenzae, Klebsiella oxytoca, Klebsiella pneumoniae, Legionella pneumophila, Moraxella catarrhalis, Proteus mirabilis, Pseudomonas aeruginosa. Es también activa contra Chlamydia pneumoniae y Mycoplasma pneumoniae, pero no contra Treponema pallidum.","Infecciones del tracto respiratorio superior e inferior, incluidas sinusitis, exacerbación aguda de la bronquitis crónica y neumonía. Infecciones de la piel y tejidos blandos (impétigo, abscesos, furunculosis, celulitis y erisipelas). Infecciones del tracto urinario (pielonefritis aguda). Osteomielitis. Artritis séptica. Ulcera córnea causada por bacterias sensibles al fármaco.","Adultos: oral, 500mg cada 24 horas durante 5 a 14 días; por infusión intravenosa lenta, 5mg/ml. Comprimidos: 250mg-500mg o 750mg cada 24 horas en una toma durante 5 a 14 días. Solución oral: 25mg/ml cada 24 horas administrados 1 hora antes o 2 horas después de las comidas. Inyectable: aplicar exclusivamente por vía intravenosa simple (60-90 minutos). 250-500mg cada 24 horas, en dextrosa al 5% o solución fisiológica. Colirio (1,5%): 1-2 gotas en el ojo afectado cada 30 minutos a 2 horas. Cuando se emplea la vía oral se aconseja administrarlo 2 horas antes o 2 horas después en sujetos que están tomando antiácidos en base a aluminio y magnesio, sucralfato, sales de hierro, minerales (cinc), vitaminas o didanosina.","Incluyen diarrea, náuseas, vaginitis, flatulencia, dolor abdominal, prurito, rash, dispepsia, insomnio, visión borrosa, insuficiencia renal aguda, artritis, confusión, convulsiones, depresión, granulocitopenia, alucinaciones, hipoglucemia, reacción maníaca, pancreatitis, paranoia, fotosensibilidad, colitis seudomembranosa, rabdomiólisis, trastornos del sueño, tendinitis, trombocitopenia, shock anafiláctico, eritema multiforme e insuficiencia orgánica en varios sistemas.","Las primeras dosis de levofloxacina pueden ocasionar reacciones de hipersensibilidad acompañadas de colapso cardiovascular, hipotensión, shock, pérdida del conocimiento, hormigueo, angioedema, obstrucción de vías respiratorias, disnea, urticaria, prurito y otras reacciones cutáneas. En caso de aparición de rash cutáneo u otros signos de hipersensibilidad, debe suspenderse su administración. Debe evitarse la exposición excesiva a la luz del sol por las reacciones de fotosensibilidad ocasionadas por este fármaco. Se recomienda control cuidadoso de la glucemia en los pacientes diabéticos que reciban concomitantemente levofloxacina y agentes hipoglucemiantes orales o insulina. La levofloxacina no altera la fertilidad ni la teratogénesis en roedores con dosis orales muy elevadas. Como no se dispone de estudios adecuados en mujeres embarazadas, se aconseja no administrarla durante la gestación, salvo en el caso de que el beneficio para la madre justifique el riesgo potencial para el feto. De la misma manera, se recomienda no administrar a mujeres en período de lactancia por los posibles efectos adversos que puede ocasionar en el niño. Estudios en animales jóvenes demostraron que la levofloxacina produce erosión en las articulaciones que soportan peso y otros signos de artropatía, por lo cual no se aconseja administrarla a niños y adolescentes. Manejar automóviles o maquinarias con precaución por los efectos neurológicos adversos como somnolencia y delirio provocados por la levofloxacina. La seguridad y eficacia del fármaco no se ha establecido en pacientes pediátricos, adolescentes ( < 18 años) y mujeres embarazadas o durante la lactancia.","Antiácidos que contengan calcio, magnesio o aluminio, como así también el sucralfato, cationes metálicos como el hierro y complejos multivitamínicos que contengan cinc, ya que pueden interferir en la absorción gastrointestinal de la levofloxacina; estos medicamentos deben ser administrados por lo menos dos horas antes o después de la ingesta de levofloxacina. La administración concomitante con drogas antiinflamatorias no esteroides puede aumentar el riesgo de estimulación del sistema nervioso central y convulsiones. La levofloxacina eleva los niveles plasmáticos de teofilina y aumenta el riesgo de reacciones adversas de esta última droga. Puede ser administrada a pacientes que reciben probenecid o cimetidina, a pesar de que éstas disminuyen la eliminación y prolongan la vida media de la levofloxacina.",Hipersensibilidad a la levofloxacina u otras quinolonas.,En caso de sobredosis aguda y reciente se aconseja el vaciamiento gástrico e hidratación adecuada. La levofloxacina no es eliminada en forma efectiva por medio de hemodiálisis o diálisis peritoneal.,ANUAR; BACFURON; BACTIFREN 500; BACTIFREN 750; BACTOCILINA; CEPLENE PLUS; ELY-DIAR 750; FENTAXINA; FLOXLEVO; GREPIFLOX IV PREMIX; 1; 2; 3
