nombre_producto,url,nombre_laboratorio,descripcion,composicion,indicaciones,presentacion,principios_activos,patologias,error
PANALENE CLIN 1,https://ar.prvademecum.com/medicamento/panalene-clin-1-24481/,PANALAB,Antiacneico.,"Cada 100 g de gel contiene: Adapaleno: 0,1 g, Clindamicina (como fosfato): 1,0 g, Etanol 96°: 30,0 g, Propilenglicol: 8,0 g, Poloxámero 188: 0,50 g Carbómero 940: 1,00 g, Metilparabeno: 0,1 g, EDTA disódico: 0,05 g, Trietanolamina c.s.p. (pH 5,5), Agua desmineralizada c.s.p.: 100 g.",PANALENE CLIN 1 es un tratamiento combinado tópico para el tratamiento del acné vulgaris.,PANALENE CLIN 1: Envases conteniendo 30 g de gel.,Adapaleno; Clindamicina,Acné,
PANALENE DUO FORTE,https://ar.prvademecum.com/medicamento/panalene-duo-forte-27029/,PANALAB,Adapaleno. Benzoílo peróxido. Antiacneico. Gel x 30g.,,,,Adapaleno; Benzoílo peróxido,Acné,
PANALENE® DUO,https://ar.prvademecum.com/medicamento/panalene-duo-21272/,PANALAB,Código ATC: D10A: Preparaciones antiacneicas de uso tópico.,"Cada 100 g de gel contiene: Adapalene 0.10 g, Peróxido de Benzoílo 2.50 g, Alcohol Etílico 30.00 g, Propilenglicol 8.00 g, Poloxamer 188 0.50 g, Carbopol 940 1.00 g, EDTA 0.05 g, Metilparabeno 0.10 g, Trietanolamina 0.30 g, Agua Purificada c.s.p. 100 g.",Tratamiento cutáneo de Acné vulgaris.,Envases conteniendo 40 y 50 g.,Adapaleno; Benzoílo peróxido,Acné,
PANAPROST® PLB,https://ar.prvademecum.com/medicamento/panaprost-17578/,PANALAB,"La Terazosina es un bloqueante selectivo de los receptores alfa 1 adrenérgicos, con efecto depresor del tono de la musculatura lisa vésico-prostática.","Cada comprimido de 2 mg contiene: Terazosina 2,00 mg (como clorhidrato dihidrato), Celactosa 85,31 mg, Almidón Pregelatinizado 10,00 mg, Estearato de Magnesio 1,50 mg, Croscarmelosa Sódica 1,00 mg. Cada comprimido de 5 mg contiene: Terazosina 5,00 mg (como clorhidrato dihidrato), Celactosa 129,53 mg, Almidón Pregelatinizado 10,00 mg, Estearato de Magnesio 1,50 mg, Croscarmelosa Sódica 1,00 mg, Amarillo Ocaso laca alumínica 2,50 mg.",Panaprost PLB® está indicado para el tratamiento sintomático de la hipertrofia prostática benigna. Está también indicado en el tratamiento de la hipertensión. Puede ser usado solo o en combinación con otros antihipertensivos como diuréticos o agentes bloqueantes adrenérgicos.,Panaprost PLB® 2 mg: Envases conteniendo 30 comprimidos. Panaprost PLB® 5 mg: Envases conteniendo 30 comprimidos.,Terazosín,"Próstata, adenoma",
PANASTAT,https://ar.prvademecum.com/medicamento/panastat-14833/,PANALAB,Antimicótico oral de amplio espectro.,Cada cápsula contiene: itraconazol 100mg.,"Tratamiento de las infecciones fúngicas siguientes: dermatomicosis (Tinea corporis, T. cruris, T. pedis, T. manus). Pitiriasis versicolor. Candidiasis orofaríngeas. Candidiasis vulvovaginales. Onicomicosis. Posibilidades de empleo: aspergilosis: como alternativa en caso de ineficacia o intolerancia al tratamiento standard con anfotericina B. Histoplasmosis (extrameníngea). Sporotricosis (cutánea y encefálica). Paracoccidioidomicosis. Cromomicosis. Blastomicosis.",Env. con 15 y 30 cápsulas.,Itraconazol,Infecciones micóticas sistémicas,
PANASTAT 200,https://ar.prvademecum.com/medicamento/panastat-200-18102/,PANALAB,Antimicótico oral de amplio espectro.,Cada cápsula contiene itraconazol 200mg.,"Tratamiento de las infecciones fúngicas siguientes: dermatomicosis, pitiriasis versicolor, candidiasis orofaríngeas, candidiasis vulvovaginales, onicomicosis, histoplasmosis, esporotricosis, paracoccidiodomicosis, aspergilosis, cromomicosis (como alternativo en caso de la ineficacia e intolerancia con el tratamiento con anfotericina B).","Env. con 2, 7, 14 y 21 cápsulas.",Itraconazol,Infecciones micóticas sistémicas,
PANATAXEL,https://ar.prvademecum.com/medicamento/panataxel-8551/,BIOPROF. BAGO,Antineoplásico.,"Paclitaxel 30mg, 100mg, 150mg y 300mg.","En combinación con cisplatino, para el tratamiento de 1a línea del cáncer de pulmón de células no pequeñas, en pacientes que no son candidatos a una potencial cirugía curativa y/o radioterapia; tratamiento de 1a línea del carcinoma de ovario avanzado, en combinación con cisplatino; tratamiento de 2a línea del sarcoma de Kaposi relacionado al sida; tratamiento del carcinoma de mama metastásico tras el fracaso de la quimioterapia combinada o en recaídas aparecidas dentro de los seis meses subsiguientes a la quimioterapia adyuvante; el tratamiento previo debe haber incluido una antraciclina a menos que exista una contraindicación clínica para las mismas; adyuvancia en cáncer de mama en mujeres de alto riesgo.","Fco. amp. x 5ml con 30mg, 100mg, 150mg y 300mg. Solución inyectable.",Paclitaxel,Cáncer,
PANCLO® B12,https://ar.prvademecum.com/medicamento/panclo-b12-18987/,DENVER FARMA,Analgésico. Antiinflamatorio. Antineurítico.,"Diclofenac Sódico 75 mg, Betametasona (como Fosfato Disódico) 2mg, Vitamina B12 (como Hidroxocobalamina) 10 mg, excipientes.",,Envase con 3 y 6 ampollas x 3 ml.,Betametasona; Diclofenac sódico; Vitamina B12,Artrosis - Reumatismo; Dolor; Enfermedades inflamat. osteomioarticulares; Neuropatías,
PANCLOFLEX®,https://ar.prvademecum.com/medicamento/pancloflex-15979/,DENVER FARMA,Analgésico. Antiinflamatorio. Miorrelajante.,"Cada comprimido recubierto de PANCLOFLEX® contiene: Diclofenac Sódico 50 mg, Pridinol Mesilato 4 mg, almidón de maíz, povidona, anhídrido silícico coloidal, croscarmellosa sódica, lactosa, estearato de magnesio, talco, hidroxipropilmetilcelulosa, dióxido de titanio, carbowax 6000, laca rojo allura.",Procesos inflamatorios dolorosos con componente miocontracturante. Afecciones reumáticas articulares y extraarticulares. Fibrosis. Mialgias. Lumbalgias. Ciatalgias. Tortícolis. Traumatismos. Esguinces.,Envases con 10 y 20 comprimidos recubiertos.,Diclofenac; Pridinol,Contractura muscular; Dolor; Enfermedades inflamat. osteomioarticulares,
PANCLOGESIC®,https://ar.prvademecum.com/medicamento/panclogesic-15414/,DENVER FARMA,"Analgésico, antiinflamatorio.","Cada comprimido recubierto de PANCLOGESIC® contiene: Diclofenac Potásico 50 mg, Paracetamol 300 mg, almidón de maíz, povidona, anhídrido silícico coloidal, croscarmellosa sódica, estearato de magnesio, hidroxipropilmetilcelulosa, talco, dióxido de titanio, carbowax 6000, laca azul brillante.","Formas inflamatorias y degenerativas del reumatismo: poliartritis reumatoidea, incluyendo la forma juvenil, espondilartritis anquilosante, artrosis, incluyendo las artrosis vertebrales. Síndromes vertebrales dolorosos. Reumatismo extra-articular. Crisis de gota. Estados inflamatorios y edematosos dolorosos, post-traumáticos y post-operatorios, por ejemplo en cirugía dentaria y ortopédica. Estados dolorosos y/o inflamatorios en ginecología, por ejemplo dismenorrea primitiva o anexitis. Como adjuvante en las infecciones inflamatorias dolorosas graves del oído, de la nariz o de la garganta, por ejemplo faringo-amigdalitis, otitis. Conforme a los principios generales de la terapéutica, tratar la infección subyacente con los medios fundamentales requeridos.",Envases con 10 y 30 comprimidos recubiertos.,Diclofenac; Paracetamol,Dismenorrea; Dolor; Enfermedades inflamat. osteomioarticulares,
PANCREOLIPASA TECHSPHERE,https://ar.prvademecum.com/medicamento/pancreolipasa-techsphere-17329/,BIOSINTEX TRESP,Enzimas pancreáticas digestivas. 4 M Caps. x 30 c/microgran.. 12 M Caps. x 100 c/microgran.. 20 M Caps. x 100 c/microgran..,,,,Amilasa; Lipasa; Proteasa,Insuficiencia hepatovesicular y pancreática,
PANCURON,https://ar.prvademecum.com/medicamento/pancuron-8109/,SCOTT-CASSARA,Pancuronio bromuro. Relaj. muscular. 4mg Amp. x 2ml.,,,,Pancuronio bromuro,Tétanos,
PANCURONIO FABRA,https://ar.prvademecum.com/medicamento/pancuronio-fabra-6495/,FABRA,Relaj. muscular.,Bromuro de pancuronio 4mg/2ml.,,1 amp. x 2ml.,Pancuronio bromuro,Tétanos,
PANCURONIO GEMEPE,https://ar.prvademecum.com/medicamento/pancuronio-gemepe-28394/,GEMEPE,Pancuronio bromuro. Bloq. neuromuscular no despolarizante. 4mg Amp. x 2ml.,,,,Pancuronio bromuro,Tétanos,
PANCURONIO GRAY,https://ar.prvademecum.com/medicamento/pancuronio-gray-11170/,DR.GRAY,Pancuronio bromuro. Relaj. muscular. 4mg /ml Amp. x 25 x 2ml. 4mg /ml Amp. x 100 x 2ml.,,,,Pancuronio bromuro,Contractura muscular; Tétanos,
PANGEST,https://ar.prvademecum.com/medicamento/pangest-8939/,BETA,Inhibidor selectivo de la bomba de protones gástrica.,"Cada comprimido recubierto contiene: pantoprazol sódico sesquihidrato 45,1mg (equivalente a 40mg de pantoprazol), excipientes cs.","Ulcera gastroduodenal, esofagitis por reflujo, gastritis erosiva y síndrome de Zollinger-Ellison.",Env. con 15 y 30 comp. rec.,Pantoprazol,Esofagitis por reflujo; Ulcera péptica,
PANGEST 20,https://ar.prvademecum.com/medicamento/pangest-20-9944/,BETA,Inhibidor selectivo de la bomba de protones gástrica.,"Cada comprimido recubierto contiene: pantoprazol sódico sesquihidrato 22,57mg (equivalente a 20mg de pantoprazol).",Esofagitis por reflujo.,Env. con 15 y 30 comp. rec.,Pantoprazol,Esofagitis por reflujo; Ulcera péptica,
PANKREOFLAT A.D.,https://ar.prvademecum.com/medicamento/pankreoflat-a-d--3305/,ADIUM,Digestivo. Antiflatulento.,"Cada comprimido recubierto contiene: Pancreatina Micropellets (equivalente a unidades FIP: Amilasa 4500, Proteasa 225 y Lipasa 4200) 200 mg; Simeticona 150 mg.","Alivio sintomático de las alteraciones digestivas, como pesadez abdominal o diarreas grasosas asocidas a la insuficiencia pancreática exócrina, náuseas y vómitos, y síntomas provocados por exceso de gas en el tubo digestivo.",Envases conteniendo 20 y 50 comprimidos recubiertos.,Dimeticona; Pancreatina,Insuficiencia hepatovesicular y pancreática,
PANSORAL,https://ar.prvademecum.com/medicamento/pansoral-9394/,ROVAFARM,Antálgico.,"Cada 100g de gel: salicilato de colina 8,7g, cloruro de cetalconio 0,01g, alcohol 95° 39g, excipientes cs.","Dolores de los estados inflamatorios y ulcerosos de la mucosa bucal (aftas, lesiones debidas al uso de prótesis, por mordidas y otras).",Tubo con 15g de gel.,Colina,Gingivitis - Estomatitis,
PANTO IVESTRON,https://ar.prvademecum.com/medicamento/panto-ivestron-30736/,FECOFAR,Pantoprazol. Antiulceroso. 20mg Comp. Rec.gastro x 30. 40mg Comp. Rec.gastro x 30.,,,,Pantoprazol,Esofagitis por reflujo; Ulcera péptica,
PANTOCAS 20,https://ar.prvademecum.com/medicamento/pantocas-20-30467/,CASASCO,Inhibidor selectivo de la bomba de protones gástrica.,Comprimidos gastrorresistentes x 20mg: cada comprimido gastrorresistente contiene: pantoprazol 20mg (como pantoprazol sódico sesquihidrato). Excipientes cs.,Ulcera gástrica y duodenal. Formas moderadas y graves de la esofagitis por reflujo. Tratamiento sintomático del reflujo gastroesofágico leve.,"Envases con 7, 14, 30 y 60 comprimidos gastrorresistentes.",Pantoprazol,Esofagitis por reflujo; Ulcera péptica,
PANTOCAS 40,https://ar.prvademecum.com/medicamento/pantocas-40-30800/,CASASCO,Inhibidor selectivo de la bomba de protones gástrica.,Pantocas 40 mg: cada comprimido gastrorresistente contiene: Pantoprazol (como Pantoprazol sódico sesquihidrato) 40.00 mg; Excipientes c.s.,Ulcera gástrica y duodenal. Formas moderadas y graves de la esofagitis por reflujo. Tratamiento sintomático del reflujo gastroesofágico leve.,Envases con 60 comprimidos gastrorresistentes.,Pantoprazol,Esofagitis por reflujo; Ulcera péptica,
PANTOCAS 40 VL,https://ar.prvademecum.com/medicamento/pantocas-40-vl-17025/,CASASCO,Inhibidor selectivo de la bomba de protones gástrica.,Pantocas 40 mg: cada comprimido gastrorresistente contiene: Pantoprazol (como Pantoprazol sódico sesquihidrato) 40.00 mg; Excipientes c.s.,Ulcera gástrica y duodenal. Formas moderadas y graves de la esofagitis por reflujo. Tratamiento sintomático del reflujo gastroesofágico leve.,Envases con 30 comprimidos gastrorresistentes.,Pantoprazol,Esofagitis por reflujo; Ulcera péptica,
PANTOMETYL 20,https://ar.prvademecum.com/medicamento/pantometyl-20-22428/,SANITAS,Pantoprazol. Inh. de la secreción ácida. 20mg Comp. x 20.,,,,Pantoprazol,Esofagitis por reflujo; Ulcera péptica,
PANTOMETYL 40,https://ar.prvademecum.com/medicamento/pantometyl-40-22400/,SANITAS,Pantoprazol. Inh. de la secreción ácida. 40mg Comp. x 30.,,,,Pantoprazol,Esofagitis por reflujo; Ulcera péptica,
PANTOMETYL 40MG,https://ar.prvademecum.com/medicamento/pantometyl-40mg-30994/,MEDISOL,Pantoprazol. Inh. de la secreción ácida. 40mg Comp. x 20.,,,,Pantoprazol,Esofagitis por reflujo; Ulcera péptica,
PANTOMICINA 200,https://ar.prvademecum.com/medicamento/pantomicina-200-3314/,BAGO,Antibiótico macrólido.,"Pantomicina 200 E.S.: cada 100 ml de Suspensión Oral preparada contiene: Eritromicina (como Etilsuccinato de Eritromicina) 4 g. Excipientes: Citrato de Sodio; Silicato de Aluminio y Magnesio; Carboximetilcelulosa Sódica; Esencia de Cereza; Eritrosina; Azúcar c.s. 5 ml (1 cucharadita llena) = 200 mg de Eritromicina base. 2,5 ml (1/2 cucharadita) = 100 mg de Eritromicina base. Pantomicina 400 E.S.: cada 100 ml de Suspensión Oral preparada contiene: Eritromicina (como Etilsuccinato de Eritromicina) 8 g. Excipientes: Citrato de Sodio; Silicato de Aluminio y Magnesio; Carboximetilcelulosa Sódica; Esencia de Cereza; Eritrosina; Ácido Cítrico, Sacarina Sódica; Azúcar c.s. 5 ml (1 cucharadita llena) = 400 mg de Eritromicina base. 2,5 ml (1/2 cucharadita) = 200 mg de Eritromicina base.","La suspensión de Etilsuccinato de Eritromicina está indicada para el tratamiento de las infecciones causadas por cepas susceptibles de los microorganismos mencionados en las siguientes enfermedades: Infecciones respiratorias altas de leve a moderada severidad causadas por Streptococcus pyogenes, Streptococcus pneumoniae o Haemophilus influenzae (cuando se utiliza concomitantemente con dosis adecuadas de sulfonamidas, ya que muchas cepas de H. influenzae no son sensibles a las concentraciones de Eritromicina comúnmente alcanzadas). Infecciones respiratorias bajas de leve a moderada severidad causadas por Streptococcus pneumoniae o Streptococcus pyogenes. Listeriosis debida a Listeria monocytogenes. Tos convulsa o tos ferina causada por Bordetella pertussis: la Eritromicina es efectiva para eliminar dicho germen de la nasofaringe de los individuos infectados, transformándolos en no infecciosos. Algunos estudios clínicos sugieren que la Eritromicina puede ser eficaz en la profilaxis de esta patología en personas susceptibles expuestas. Infecciones respiratorias debidas a Mycoplasma pneumoniae. Infecciones de piel y faneras de leve a moderada severidad causadas por Streptococcus pyogenes o Staphylococcus aureus (durante el tratamiento pueden aparecer estafilococos resistentes). Difteria: infecciones debidas a Corynebacterium diphteriae, asociada a la antitoxina para prevenir el estado de portadores y erradicar el organismo de los mismos. Eritrasma: en el tratamiento de infecciones debidas a Corynebacterium minutissimum. Amebiasis intestinal causada por Entamoeba histolytica (usar Eritromicinas orales solamente): la amebiasis extra-entérica requiere tratamiento con otros agentes. Enfermedad inflamatoria pelviana aguda causada por Neisseria gonorrhoeae: como droga alternativa en el tratamiento de la enfermedad inflamatoria pelviana aguda causada por N. gonorrhoeae en mujeres con antecedentes de alergia a la penicilina. Antes del tratamiento de la gonorrea con Eritromicina, se deberá realizar un examen microscópico (mediante inmunofluorescencia o campo oscuro) para la detección de T. pallidum y luego pruebas serológicas mensuales durante un mínimo de 4 meses. Sífilis causada por Treponema pallidum: la Eritromicina es un tratamiento de elección alternativo para la sífilis primaria en pacientes alérgicos a la penicilina. Se deberá efectuar exámenes del líquido cefalorraquídeo antes del tratamiento y como parte del seguimiento post-tratamiento. La Eritromicina no debe utilizarse para el tratamiento de la sífilis en el embarazo porque no se sabe si puede curar al feto infectado. La Eritromicina está indicada para el tratamiento de las siguientes infecciones causadas por Chlamydia trachomatis: conjuntivitis neonatal, neumonía de la infancia e infecciones genitourinarias durante el embarazo (ver Embarazo). La Eritromicina está indicada para el tratamiento de infecciones uretrales, endocervicales o rectales no complicadas en adultos debidas a Chlamydia trachomatis, cuando las tetraciclinas están contraindicadas o no son toleradas. La Eritromicina está indicada para el tratamiento de la uretritis no gonocócica causada por Ureaplasma urealyticum, cuando las tetraciclinas están contraindicadas o no son toleradas. Enfermedad de los legionarios causada por Legionella pneumophila: si bien no se han realizado estudios clínicos controlados, los resultados in vitro y los limitados informes clínicos preliminares sugieren que la Eritromicina puede ser efectiva para el tratamiento de la Enfermedad de los legionarios. Prevención de los episodios iniciales de fiebre reumática: la penicilina está considerada como el agente de elección en la prevención de los primeros episodios de fiebre reumática (tratamiento de las infecciones estreptocócicas beta-hemolíticas del Grupo A de las vías respiratorias superiores, por ejemplo, amigdalitis o faringitis). La Eritromicina está indicada para el tratamiento en pacientes alérgicos a la penicilina. La dosis terapéutica debe administrarse durante 10 días. Prevención de episodios recurrentes de fiebre reumática: la penicilina o las sulfonamidas están consideradas como las drogas de elección en la prevención de los episodios recurrentes de fiebre reumática. En pacientes alérgicos a la penicilina y a las sulfonamidas, se recomienda la Eritromicina por vía oral en la profilaxis a largo plazo de la faringitis estreptocócica (para prevenir las recidivas de la fiebre reumática). Prevención de la endocarditis bacteriana: aunque no se han llevado a cabo estudios controlados de eficacia clínica, se ha recomendado la administración de Eritromicina oral para la prevención de la endocarditis bacteriana en pacientes alérgicos a la penicilina con válvulas cardíacas protésicas, la mayoría de las cardiopatías congénitas, shunts quirúrgicos sistémicos-pulmonares, valvulopatía reumática u otras adquiridas, estenosis subaórtica hipertrófica idiopática, antecedentes de endocarditis bacteriana o prolapso de válvula mitral con insuficiencia que deben ser sometidos a procedimientos odontológicos o intervenciones quirúrgicas de las vías respiratorias superiores.",Pantomicina 200 E.S.: Envase conteniendo 1 frasco con Granulado para preparar 100 ml de Suspensión Oral y cucharita dosificadora graduada. Pantomicina 400 E.S.: Envase conteniendo 1 frasco con Granulado para preparar 60 ml de Suspensión Oral y cucharita dosificadora graduada.,Eritromicina,Cólera; Fiebre reumática; Infecciones bacterianas sistémicas,
PANTOMICINA 400,https://ar.prvademecum.com/medicamento/pantomicina-400-30644/,BAGO,Antibiótico macrólido.,"Pantomicina 200 E.S.: cada 100 ml de Suspensión Oral preparada contiene: Eritromicina (como Etilsuccinato de Eritromicina) 4 g. Excipientes: Citrato de Sodio; Silicato de Aluminio y Magnesio; Carboximetilcelulosa Sódica; Esencia de Cereza; Eritrosina; Azúcar c.s. 5 ml (1 cucharadita llena) = 200 mg de Eritromicina base. 2,5 ml (1/2 cucharadita) = 100 mg de Eritromicina base. Pantomicina 400 E.S.: cada 100 ml de Suspensión Oral preparada contiene: Eritromicina (como Etilsuccinato de Eritromicina) 8 g. Excipientes: Citrato de Sodio; Silicato de Aluminio y Magnesio; Carboximetilcelulosa Sódica; Esencia de Cereza; Eritrosina; Ácido Cítrico, Sacarina Sódica; Azúcar c.s. 5 ml (1 cucharadita llena) = 400 mg de Eritromicina base. 2,5 ml (1/2 cucharadita) = 200 mg de Eritromicina base.","La suspensión de Etilsuccinato de Eritromicina está indicada para el tratamiento de las infecciones causadas por cepas susceptibles de los microorganismos mencionados en las siguientes enfermedades: Infecciones respiratorias altas de leve a moderada severidad causadas por Streptococcus pyogenes, Streptococcus pneumoniae o Haemophilus influenzae (cuando se utiliza concomitantemente con dosis adecuadas de sulfonamidas, ya que muchas cepas de H. influenzae no son sensibles a las concentraciones de Eritromicina comúnmente alcanzadas). Infecciones respiratorias bajas de leve a moderada severidad causadas por Streptococcus pneumoniae o Streptococcus pyogenes. Listeriosis debida a Listeria monocytogenes. Tos convulsa o tos ferina causada por Bordetella pertussis: la Eritromicina es efectiva para eliminar dicho germen de la nasofaringe de los individuos infectados, transformándolos en no infecciosos. Algunos estudios clínicos sugieren que la Eritromicina puede ser eficaz en la profilaxis de esta patología en personas susceptibles expuestas. Infecciones respiratorias debidas a Mycoplasma pneumoniae. Infecciones de piel y faneras de leve a moderada severidad causadas por Streptococcus pyogenes o Staphylococcus aureus (durante el tratamiento pueden aparecer estafilococos resistentes). Difteria: infecciones debidas a Corynebacterium diphteriae, asociada a la antitoxina para prevenir el estado de portadores y erradicar el organismo de los mismos. Eritrasma: en el tratamiento de infecciones debidas a Corynebacterium minutissimum. Amebiasis intestinal causada por Entamoeba histolytica (usar Eritromicinas orales solamente): la amebiasis extra-entérica requiere tratamiento con otros agentes. Enfermedad inflamatoria pelviana aguda causada por Neisseria gonorrhoeae: como droga alternativa en el tratamiento de la enfermedad inflamatoria pelviana aguda causada por N. gonorrhoeae en mujeres con antecedentes de alergia a la penicilina. Antes del tratamiento de la gonorrea con Eritromicina, se deberá realizar un examen microscópico (mediante inmunofluorescencia o campo oscuro) para la detección de T. pallidum y luego pruebas serológicas mensuales durante un mínimo de 4 meses. Sífilis causada por Treponema pallidum: la Eritromicina es un tratamiento de elección alternativo para la sífilis primaria en pacientes alérgicos a la penicilina. Se deberá efectuar exámenes del líquido cefalorraquídeo antes del tratamiento y como parte del seguimiento post-tratamiento. La Eritromicina no debe utilizarse para el tratamiento de la sífilis en el embarazo porque no se sabe si puede curar al feto infectado. La Eritromicina está indicada para el tratamiento de las siguientes infecciones causadas por Chlamydia trachomatis: conjuntivitis neonatal, neumonía de la infancia e infecciones genitourinarias durante el embarazo (ver Embarazo). La Eritromicina está indicada para el tratamiento de infecciones uretrales, endocervicales o rectales no complicadas en adultos debidas a Chlamydia trachomatis, cuando las tetraciclinas están contraindicadas o no son toleradas. La Eritromicina está indicada para el tratamiento de la uretritis no gonocócica causada por Ureaplasma urealyticum, cuando las tetraciclinas están contraindicadas o no son toleradas. Enfermedad de los legionarios causada por Legionella pneumophila: si bien no se han realizado estudios clínicos controlados, los resultados in vitro y los limitados informes clínicos preliminares sugieren que la Eritromicina puede ser efectiva para el tratamiento de la Enfermedad de los legionarios. Prevención de los episodios iniciales de fiebre reumática: la penicilina está considerada como el agente de elección en la prevención de los primeros episodios de fiebre reumática (tratamiento de las infecciones estreptocócicas beta-hemolíticas del Grupo A de las vías respiratorias superiores, por ejemplo, amigdalitis o faringitis). La Eritromicina está indicada para el tratamiento en pacientes alérgicos a la penicilina. La dosis terapéutica debe administrarse durante 10 días. Prevención de episodios recurrentes de fiebre reumática: la penicilina o las sulfonamidas están consideradas como las drogas de elección en la prevención de los episodios recurrentes de fiebre reumática. En pacientes alérgicos a la penicilina y a las sulfonamidas, se recomienda la Eritromicina por vía oral en la profilaxis a largo plazo de la faringitis estreptocócica (para prevenir las recidivas de la fiebre reumática). Prevención de la endocarditis bacteriana: aunque no se han llevado a cabo estudios controlados de eficacia clínica, se ha recomendado la administración de Eritromicina oral para la prevención de la endocarditis bacteriana en pacientes alérgicos a la penicilina con válvulas cardíacas protésicas, la mayoría de las cardiopatías congénitas, shunts quirúrgicos sistémicos-pulmonares, valvulopatía reumática u otras adquiridas, estenosis subaórtica hipertrófica idiopática, antecedentes de endocarditis bacteriana o prolapso de válvula mitral con insuficiencia que deben ser sometidos a procedimientos odontológicos o intervenciones quirúrgicas de las vías respiratorias superiores.",Pantomicina 200 E.S.: Envase conteniendo 1 frasco con Granulado para preparar 100 ml de Suspensión Oral y cucharita dosificadora graduada. Pantomicina 400 E.S.: Envase conteniendo 1 frasco con Granulado para preparar 60 ml de Suspensión Oral y cucharita dosificadora graduada.,Eritromicina,Cólera; Fiebre reumática; Infecciones bacterianas sistémicas,
PANTOMICINA 500,https://ar.prvademecum.com/medicamento/pantomicina-500-24853/,BAGO,Antibiótico macrólido.,Cada Comprimido Recubierto contiene: Eritromicina (como Etilsuccinato de Eritromicina) 500 mg. Excipientes: Fosfato de Calcio Dibásico; Amiloglicolato de Sodio; Povidona; Estearato de Magnesio; Hipromelosa; Polietilenglicol; Dióxido de Titanio; Amarillo Ocaso F.C.F.; Ácido Sórbico; Almidón de Maíz c.s.,"La Eritromicina está indicada en el tratamiento de infecciones causadas por cepas susceptibles de los organismos mencionados en las siguientes enfermedades: Infecciones de grado leve a moderado del tracto superior causadas por Streptococcus pyogenes, Streptococcus pneumoniae, o Haemophilus influenzae (cuando se lo utiliza concomitantemente con dosis adecuadas de sulfonamidas, debido a que la mayoría de las cepas de H. influenzae no son susceptibles a las concentraciones habitualmente alcanzadas de Eritromicina). Infecciones del tracto respiratorio inferior de severidad leve a moderada, causadas por Streptococcus pneumoniae o Streptococcus pyogenes. Listeriosis causada por Listeria monocytogenes. Tos convulsa o tos ferina causada por Bordetella pertussis. La Eritromicina es efectiva para eliminar el organismo de la nasofaringe de pacientes infectados transformándolos en no infecciosos. Algunos estudios clínicos sugieren que la Eritromicina puede ser útil en la profilaxis de la tos convulsa en individuos susceptibles expuestos. Infecciones del tracto respiratorio debido a Mycoplasma pneumoniae. Infecciones de piel y faneras de severidad leve a moderada causadas por Streptococcus pyogenes o Staphylococcus aureus (pueden surgir estafilococos resistentes durante el tratamiento). Difteria: infecciones debidas a Corynebacterium diphtheriae, como adyuvante de la antitoxina para prevenir el establecimiento de portadores y para erradicar el organismo de los mismos. Eritrasma: en el tratamiento de infecciones debidas a Corynebacterium minutissimum. Amebiasis intestinal causadas por Entamoeba histolytica (eritromicinas orales solamente). La amebiasis extraintestinal requiere tratamiento con otros agentes. Enfermedad pelviana inflamatoria aguda debida a Neisseria gonorrhoeae: como una droga alternativa en el tratamiento de la enfermedad causada por N. gonorrhoeae en mujeres con una historia de alergia a la penicilina. Los pacientes deberán tener un test serológico para la sífilis antes de recibir Eritromicina como tratamiento de la gonorrea y un test serológico de seguimiento para la sífilis después de 3 meses. Sífilis causada por Treponema pallidum: la Eritromicina es una elección de alternativa para el tratamiento de la sífilis primaria en pacientes alérgicos a la penicilina. En el tratamiento de la sífilis primaria deberán realizarse exámenes de líquido cefalorraquídeo antes del tratamiento y como parte del seguimiento después de la terapéutica. La Eritromicina está indicada para el tratamiento de las siguientes infecciones causadas por Chlamydia trachomatis: conjuntivitis del recién nacido, neumonía infantil e infecciones urogenitales durante el embarazo. Cuando las tetraciclinas están contraindicadas o no son toleradas, la Eritromicina está indicada para el tratamiento de infecciones no complicadas uretrales, endocervicales, o rectales en adultos debido a Chlamydia trachomatis. Cuando las tetraciclinas están contraindicadas o no son toleradas, la Eritromicina está indicada para el tratamiento de uretritis no gonocócica causada por Ureaplasma urealyticum. Enfermedad de los legionarios causada por Legionella pneumophila: aunque no se han realizado estudios clínicos controlados de eficacia, los datos in vitro y clínicos limitados preliminares sugieren que la Eritromicina puede ser efectiva en el tratamiento de la enfermedad de los legionarios.",Envases conteniendo 8 y 16 Comprimidos Recubiertos.,Eritromicina,Cólera; Fiebre reumática; Infecciones bacterianas sistémicas,
PANTOP®,https://ar.prvademecum.com/medicamento/pantop-6841/,ADIUM,Inhibidor de la bomba de protones.,"Cada comprimido recubierto gastrorresistente contiene: Pantoprazol sódico sesquihidrato (equivalente a pantoprazol 40 mg) 45,10 mg; Excipientes c.s.",Esofagitis por reflujo. Erradicación del Helicobacter pylori (H. pylori) en combinación con antibióticos apropiados. Tratamiento de úlcera gástrica y duodenal. Síndrome Zollinger-Ellison y otras condiciones patológicas de hipersecreción.,Envases con 14 y 28 comprimidos recubiertos gastrorresistentes.,Pantoprazol,Esofagitis por reflujo; Ulcera péptica,
